NPAFC Salmonid Catch Statistics 1925–2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Whole Country/Province/State,Reporting Area,Species,Catch Type,Data Type,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Canada,Whole country,Whole country,Sockeye,Commercial,Number (000's),"5,245.50","4,531.90","3,932.60","2,789.90","3,463.50","6,462.20","4,071.00","4,363.70","3,450.30","4,648.60","4,623.70","5,283.80","4,171.40","5,334.20","3,292.20","4,261.50","5,230.40","7,670.50","1,971.00","2,427.30","3,568.90","4,838.20","3,905.30","2,827.90","2,959.00","4,549.00","4,385.90","4,838.00","5,914.00","6,702.00","2,835.00","3,257.00","3,036.00","12,045.00","3,260.00","2,858.00","4,564.00","3,499.00","2,086.00","3,619.00","3,019.00","4,020.00","6,748.00","6,346.00","4,267.00","4,067.00","6,304.00","3,561.00","7,583.00","7,222.00","2,270.00","4,813.00","6,346.00","7,222.00","5,669.00","3,186.00","8,413.00","10,057.00","5,500.00","5,065.00","12,217.00","10,548.00","5,373.00","4,449.00","13,747.00","14,152.00","10,336.00","8,170.00","18,060.00","11,504.00","4,412.00","6,419.87","11,703.32","1,932.85",774.56,"3,562.15","3,033.69","4,211.07","2,789.19","2,439.40",488.39,"4,645.29",660.27,766.68,213.35,"10,230.46","1,352.43",863.07,314.12,"9,288.40","1,215.34",757.90,151.32,"3,968.56",71.58,62.94,119.52,"1,253.25",502.53
Canada,Whole country,Whole country,Coho,Commercial,Number (000's),"3,079.20","2,843.40","2,874.50","3,231.20","3,236.90","3,216.90","1,899.80","2,207.70","2,380.00","2,399.30","3,749.50","3,118.60","2,325.40","3,384.80","2,899.00","3,112.80","4,382.20","2,785.90","2,430.80","2,686.70","3,920.50","2,693.90","2,696.40","2,697.60","2,888.00","2,666.00","4,324.90","2,719.00","2,871.00","2,442.00","2,976.00","3,041.00","3,137.00","2,989.00","2,897.00","2,030.00","3,299.00","3,623.00","3,418.00","4,147.00","4,437.00","5,402.00","3,151.00","5,147.00","2,341.00","3,347.00","4,608.00","3,208.00","3,338.00","3,511.00","2,225.00","3,485.00","3,265.00","3,350.00","3,630.00","3,415.00","2,815.00","3,171.00","4,125.00","3,599.00","2,946.00","4,904.00","3,348.00","2,739.00","3,425.00","3,865.00","3,506.00","2,956.00","1,889.00","2,548.00","1,871.00","1,315.53",228.15,9.03,15.23,17.62,18.09,135.58,251.51,363.63,418.30,149.47,275.86,82.16,239.57,141.12,325.83,218.60,473.87,274.37,298.21,274.54,369.10,196.46,200.90,102.94,84.29,117.14,134.59
Canada,Whole country,Whole country,Chinook,Commercial,Number (000's),"1,041.70",816.60,880.30,768.70,663.70,"1,082.50",766.80,891.10,773.10,936.30,922.80,962.20,872.10,769.30,753.40,584.30,963.90,695.00,560.50,632.00,719.80,899.40,874.30,513.90,"1,046.00",971.00,726.20,904.00,"1,017.00",876.00,876.00,982.00,948.00,"1,074.00",956.00,753.00,700.00,720.00,800.00,961.00,981.00,"1,163.00","1,099.00","1,054.00","1,054.00","1,076.00","1,518.00","1,508.00","1,372.00","1,422.00","1,380.00","1,499.00","1,470.00","1,352.00","1,329.00","1,269.00","1,133.00","1,234.00",950.00,"1,010.00",869.00,813.00,766.00,723.00,648.00,664.00,639.00,679.00,619.00,428.00,193.00,59.83,229.63,166.26,133.09,85.75,121.19,285.85,351.47,410.36,335.37,271.11,195.40,156.31,141.38,179.36,235.17,156.81,126.22,317.91,188.27,213.71,245.52,119.51,122.88,92.49,128.37,116.34,109.23
Canada,Whole country,Whole country,Steelhead,Commercial,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,British Columbia,Fraser River,Pink,Commercial,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,189.46,0.61,4.28,2.22,120.40,0.05,294.31,0.02,2.19,0.25,0.45,0.00,93.43,0.13,805.56,0.00,"1,743.36",0.09,102.28,0.00,11.80,0.04,451.45,,46.94,1.03,512.94
Canada,British Columbia,Fraser River,Chum,Commercial,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.34,30.71,27.32,62.64,41.30,81.74,115.91,84.89,137.91,69.82,180.70,38.05,48.50,51.48,10.97,39.61,13.59,117.27,76.75,137.59,337.57,199.59,9.70,3.98,46.89,3.47,5.84,1.55
Canada,British Columbia,Fraser River,Sockeye,Commercial,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,142.69","2,099.61",373.38,13.96,455.51,287.92,"1,079.81",233.23,552.59,7.34,783.92,0.64,4.93,4.46,"3,393.79",171.53,3.42,11.54,"3,045.91",5.55,49.31,7.40,"1,850.45",1.32,1.33,8.80,259.50,8.97
Canada,British Columbia,Fraser River,Coho,Commercial,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15,0.87,0.17,0.62,0.86,0.33,2.43,0.04,0.10,,0.00,,0.00,0.01,0.13,0.30,,0.51,0.24,0.19,0.82,0.73,0.44,0.27,0.93,0.80,0.97,0.27
Canada,British Columbia,Fraser River,Chinook,Commercial,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.89,40.95,8.37,4.07,8.32,10.49,9.72,11.22,19.20,4.70,5.71,2.19,4.04,3.31,9.51,9.40,1.60,2.98,9.79,4.52,2.33,1.74,2.42,4.27,3.38,3.84,3.52,5.21
Canada,British Columbia,Fraser River,Steelhead,Commercial,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,British Columbia,South Coast,Pink,Commercial,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.00,"3,984.80",96.34,19.31,"1,414.38","1,172.40",128.91,"1,098.01",101.32,323.51,47.00,63.52,8.79,"1,323.21",199.02,"3,802.13",2.92,991.53,586.70,183.97,0.88,37.24,97.27,13.61,1.80,5.19,2.26,31.29
Canada,British Columbia,South Coast,Chum,Commercial,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.85,109.42,"2,306.13",83.87,187.66,432.58,"1,222.64","1,072.35","1,363.84",708.29,971.41,516.74,318.29,573.07,62.42,"1,205.74",558.88,685.04,377.86,772.39,"2,099.55",746.33,216.91,5.22,200.16,16.25,105.44,16.11
