"region","species_name","cuid","cu_name_pse","cosewic_status","cosewic_status_yr","cosewic_source","wsp_status","wsp_status_yr","wsp_source","province_status","province_status_yr","province_source"
"Skeena","Pink (odd)",209,"Lower Skeena River (odd)","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Skeena","Pink (odd)",213,"Middle-Upper Skeena (odd)","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Skeena","Pink (odd)",223,"Nass-Skeena Estuary (odd)","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Skeena","River sockeye",216,"Skeena River-High Interior (river-type)","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Skeena","River sockeye",226,"Skeena River (river-type)","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Skeena","Steelhead",280,"Upper Skeena Headwaters","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Skeena","Steelhead",281,"Upper Sustut","-989898","-989898","-989898","-989898","-989898","-989898","Conservation Concern","2018","https://www.env.gov.bc.ca/skeena/fish/sk_series_reports/sk178.pdf"
"Skeena","Steelhead",282,"Upper Skeena","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Skeena","Steelhead",283,"Kispiox","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Skeena","Steelhead",284,"Babine","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Skeena","Steelhead",285,"Middle Skeena","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Skeena","Steelhead",286,"Suskwa","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Skeena","Steelhead",287,"Bulkley","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Skeena","Steelhead",288,"Skeena Coastal Summers","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Skeena","Steelhead",289,"Morice","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Skeena","Steelhead",290,"Skeena Coastal Winters","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Nass","Chinook",401,"Portland Sound-Observatory Inlet-Lower Nass","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Nass","Chinook",402,"Upper Nass","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Nass","Chum",404,"Portland Inlet","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Nass","Chum",405,"Lower Nass","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Nass","Chum",406,"Portland Canal-Observatory","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Nass","Coho",408,"Lower Nass","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Nass","Coho",409,"Upper Nass","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Nass","Coho",410,"Portland Sound-Observatory Inlet-Portland Canal","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Nass","Lake sockeye",418,"Clements","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Nass","Lake sockeye",419,"Leverson","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Nass","Lake sockeye",420,"Bowser","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Nass","Lake sockeye",421,"Damdochax","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Nass","Lake sockeye",422,"Fred Wright","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Nass","Lake sockeye",423,"Kwinageese","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Nass","Lake sockeye",424,"Meziadin","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Nass","Lake sockeye",425,"Oweegee","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Nass","Pink (even)",412,"Upper Nass (even)","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Nass","Pink (odd)",414,"Nass-Portland-Observatory (odd)","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Nass","Pink (odd)",415,"Upper Nass (odd)","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Nass","River sockeye",426,"Lower Nass-Portland (river-type)","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
